codigo,nombre_producto,origen,origen_clasificacion,origen_promedio_venta,cantidad_transferir,destino,destino_clasificacion,destino_promedio_venta,mayor_costo,costo_total
00310016C,Brillo Secante 13.5 Ml Masglo,holguines 33044,D,0.0,1.0,podium 29434,B,1.67,6534.5,6534.5
00310016C,Brillo Secante 13.5 Ml Masglo,holguines 33044,D,0.0,1.0,cosmocentro3 28047,L,0.33,6534.5,6534.5
00310019C,Brillo 13.5 Ml # 0Br Masglo,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,A,2.67,6119.67,6119.67
00310019C,Brillo 13.5 Ml # 0Br Masglo,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,A,2.67,6119.59,6119.59
00310019C,Brillo 13.5 Ml No. 0Br Masglo,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,A,2.67,6119.67,6119.67
00310019C,Brillo 13.5 Ml No. 0Br Masglo,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,A,2.67,6119.59,6119.59
00310027C,ESMALTE CREMOSO MASGLO NOVIA FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310027C,Esmalte Novia 13.5 Ml No. 54 Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310059C,AMANTE 13.5 ML # 116 MASGLO,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00310059C,Amante 13.5 Ml # 116 Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00310064C,ESMALTE MASGLO GOMELA FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310064C,Esmalte Gomela 13.5 Ml No. 131 Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310076C,ESMALTE MASGLO ARTISTA REBELDE FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,carmesi 33593,L,0.33,6119.67,6119.67
00310076C,ESMALTE MASGLO ARTISTA REBELDE FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,carmesi 33593,L,0.33,6120.0,6120.0
00310076C,Esmalte Rebelde 13.5 Ml No. 179 Masglo,holguines 33044,D,0.0,1.0,carmesi 33593,L,0.33,6119.67,6119.67
00310076C,Esmalte Rebelde 13.5 Ml No. 179 Masglo,holguines 33044,D,0.0,1.0,carmesi 33593,L,0.33,6120.0,6120.0
00310076C,Rebelde 13.5 Ml # 179 Masglo,holguines 33044,D,0.0,1.0,carmesi 33593,L,0.33,6119.67,6119.67
00310076C,Rebelde 13.5 Ml # 179 Masglo,holguines 33044,D,0.0,1.0,carmesi 33593,L,0.33,6120.0,6120.0
00310104C,ESMALTE MASGLO CREMOSOSANGRETORO FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,ciudadela 28233,L,0.33,6120.0,6120.0
00310104C,ESMALTE MASGLO CREMOSOSANGRETORO FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,ciudadela 28233,L,0.33,6119.5,6119.5
00310104C,ESMALTE MASGLO CREMOSOSANGRETORO FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00310104C,ESMALTE MASGLO CREMOSOSANGRETORO FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310104C,Esmalte Sangre Toro 13.5 Ml No. 24 Masgl,carmesi 33593,D,0.0,1.0,ciudadela 28233,L,0.33,6120.0,6120.0
00310104C,Esmalte Sangre Toro 13.5 Ml No. 24 Masgl,carmesi 33593,D,0.0,1.0,ciudadela 28233,L,0.33,6119.5,6119.5
00310104C,Esmalte Sangre Toro 13.5 Ml No. 24 Masgl,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00310104C,Esmalte Sangre Toro 13.5 Ml No. 24 Masgl,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310104C,Sangre Toro 13.5 Ml # 24 Masglo,carmesi 33593,D,0.0,1.0,ciudadela 28233,L,0.33,6120.0,6120.0
00310104C,Sangre Toro 13.5 Ml # 24 Masglo,carmesi 33593,D,0.0,1.0,ciudadela 28233,L,0.33,6119.5,6119.5
00310104C,Sangre Toro 13.5 Ml # 24 Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00310104C,Sangre Toro 13.5 Ml # 24 Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310105C,MIMADA 13.5ML MASGLO,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,5733.0,5733.0
00310105C,Mimada 13.5Ml Masglo,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,5733.0,5733.0
00310114C,Ausente 13.5 Ml # 264 Masglo,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,6119.5,6119.5
00310114C,Ausente 13.5 Ml # 264 Masglo,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00310114C,ESMALTE MASGLO AUSENTE FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,6119.5,6119.5
00310114C,ESMALTE MASGLO AUSENTE FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00310114C,Esmalte Ausente 13.5 Ml No. 264 Masglo,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,6119.5,6119.5
00310114C,Esmalte Ausente 13.5 Ml No. 264 Masglo,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00310148C,Esmalte Fufurufa 13 5 Mil mililitros No  312 Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310148C,Esmalte Fufurufa 13.5 Ml No. 312 Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310171C,CANDIDATA 13.5 ML # 56 MASGLO,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310171C,Candidata 13.5Ml Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310173C,Ejecutiva 13.5 Ml # 59 Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,5069.75,5069.75
00310173C,Ejecutiva 13.5 Ml # 59 Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310173C,Esmalte Ejecutiva 13.5 Ml No. 59 Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,5069.75,5069.75
00310173C,Esmalte Ejecutiva 13.5 Ml No. 59 Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00310224C,ESMALTE ADMISS WILLY FRASCO X 10 ML,cosmocentro3 28047,D,0.0,1.0,holguines 33044,L,0.33,2048.0,2048.0
00310224C,Willy 10 Ml # E147 Admiss,cosmocentro3 28047,D,0.0,1.0,holguines 33044,L,0.33,2048.0,2048.0
00310267C,Admiss Brillo Fiesta 10Ml,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,2246.0,2246.0
00310267C,BRILLO FIESTA 10 ML ADMISS,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,2246.0,2246.0
00310306C,MATIFICADOR 13.5ML MASGLO,carmesi 33593,D,0.0,1.0,cosmocentro2 35981,L,0.33,5486.0,5486.0
00310306C,Matificador 13.5Ml Masglo,carmesi 33593,D,0.0,1.0,cosmocentro2 35981,L,0.33,5486.0,5486.0
00310473C,ESMALTE INTUITIVA 13.5ML 346 MASGLO,podium 29434,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310473C,ESMALTE INTUITIVA 13.5ML 346 MASGLO,podium 29434,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310473C,Esmalte Intuitiva 13.5Ml 346 Masglo,podium 29434,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310473C,Esmalte Intuitiva 13.5Ml 346 Masglo,podium 29434,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310473C,Intuitiva 13.5Ml Masglo,podium 29434,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310473C,Intuitiva 13.5Ml Masglo,podium 29434,D,0.0,1.0,cosmocentro3 28047,L,0.33,6119.5,6119.5
00310909C,ESMALTE MASGLO PROFESIONAL FRASCO X 13.50 ML,podium 29434,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00310909C,Profesional 13.5 Ml # 379 Masglo,podium 29434,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00310918C,ESMALTE MASGLO VIRGINAL FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,6119.5,6119.5
00310918C,ESMALTE MASGLO VIRGINAL FRASCO X 13.50 ML,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,6120.0,6120.0
00310918C,Esmalte Virginal 13.5 Ml No. 388 Masglo,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,6119.5,6119.5
00310918C,Esmalte Virginal 13.5 Ml No. 388 Masglo,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,6120.0,6120.0
00310918C,Virginal 13.5 Ml # 388 Masglo,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,6119.5,6119.5
00310918C,Virginal 13.5 Ml # 388 Masglo,carmesi 33593,D,0.0,1.0,holguines 33044,L,0.33,6120.0,6120.0
00311032C,Brillo Coral 13.5 Ml Masglo,podium 29434,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311032C,ESMALTE MASGLO BRILLO CORAL FRASCO X 13.50 ML,podium 29434,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311054C,ESMALTE MASGLO MALVADA FRASCO X 13.50 ML,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311054C,ESMALTE MASGLO MALVADA FRASCO X 13.50 ML,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311054C,Esmalte Malvada 13.5 Ml # 423 Masglo,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311054C,Esmalte Malvada 13.5 Ml # 423 Masglo,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311054C,Malvada 13.5 Ml # 423 Masglo,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311054C,Malvada 13.5 Ml # 423 Masglo,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6120.0,6120.0
00311148C,Brillo Rosa 13.5 Ml Masglo,metro 33045,D,0.0,1.0,carmesi 33593,L,0.33,6120.0,6120.0
00311148C,Brillo Rosa 13.5 Ml Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00311148C,ESMALTE MASGLO BRILLO ROSA FRASCO X 13.50 ML,metro 33045,D,0.0,1.0,carmesi 33593,L,0.33,6120.0,6120.0
00311148C,ESMALTE MASGLO BRILLO ROSA FRASCO X 13.50 ML,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00311293C,RELAJADA 13.5ML MASGLO,holguines 33044,D,0.0,1.0,pasoancho 33511,L,0.33,5239.0,5239.0
00311572C,Orgullosa 13 5 Mil mililitros # 478 Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6119.5,6119.5
00311572C,Orgullosa 13.5Ml Masglo,holguines 33044,D,0.0,1.0,podium 29434,L,0.33,6119.5,6119.5
00311833C,BASE ANTIESCAMACION MASGLO FRASCO X 13.50 ML,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6119.67,6119.67
00311833C,BASE ANTIESCAMACION MASGLO FRASCO X 13.50 ML,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,4996.0,4996.0
00311833C,Base Antiescamacion Endurece 13.5Mlmasgl,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6119.67,6119.67
00311833C,Base Antiescamacion Endurece 13.5Mlmasgl,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,4996.0,4996.0
00311833C,Baseantiescamación Endurece 13.5Mlmasglo,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,6119.67,6119.67
00311833C,Baseantiescamación Endurece 13.5Mlmasglo,ciudadela 28233,D,0.0,1.0,pasoancho 33511,L,0.33,4996.0,4996.0
00311950C,CONTROLADORA 13.5ML MASGLO,holguines 33044,D,0.0,1.0,cosmocentro2 35981,L,0.33,6119.5,6119.5
00311950C,Controladora 13.5Ml Masglo,holguines 33044,D,0.0,1.0,cosmocentro2 35981,L,0.33,6119.5,6119.5
00312124C,HUMANA 13.5 ML # 514 MASGLO,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00312124C,HUMANA 13.5 ML # 514 MASGLO,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,5239.0,5239.0
00312124C,HUMANA 13.5 ML # 514 MASGLO,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00312124C,HUMANA 13.5 ML # 514 MASGLO,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,5239.0,5239.0
00312124C,Humana 13.5 Ml # 514 Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00312124C,Humana 13.5 Ml # 514 Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,5239.0,5239.0
00312124C,Humana 13.5 Ml # 514 Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00312124C,Humana 13.5 Ml # 514 Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,5239.0,5239.0
00312124C,Humana 13.5Ml Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,6120.0,6120.0
00312124C,Humana 13.5Ml Masglo,carmesi 33593,D,0.0,1.0,cosmocentro3 28047,L,0.33,5239.0,5239.0
00312124C,Humana 13.5Ml Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,6120.0,6120.0
00312124C,Humana 13.5Ml Masglo,carmesi 33593,D,0.0,1.0,podium 29434,L,0.33,5239.0,5239.0
00312475C,ADMISS LUCIANO 10ML,podium 29434,D,0.0,1.0,carmesi 33593,L,0.33,2048.0,2048.0
00312475C,Admiss Luciano 10Ml,podium 29434,D,0.0,1.0,carmesi 33593,L,0.33,2048.0,2048.0
00312531C,ESMALTE MASGLO INSINUANTE FRASCO X 13.50 ML,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,6119.0,6119.0
00312531C,ESMALTE MASGLO INSINUANTE FRASCO X 13.50 ML,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,5733.0,5733.0
00312531C,Insinuante 13.5 Masglo,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,6119.0,6119.0
00312531C,Insinuante 13.5 Masglo,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,5733.0,5733.0
00312531C,Insinuante 13.5Ml Masglo,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,6119.0,6119.0
00312531C,Insinuante 13.5Ml Masglo,pasoancho 33511,D,0.0,1.0,carmesi 33593,L,0.33,5733.0,5733.0
00312563C,Admiss Omar 10Ml,cosmocentro3 28047,D,0.0,1.0,podium 29434,L,0.33,2048.0,2048.0
00312563C,Admiss Omar 10Ml,cosmocentro3 28047,D,0.0,1.0,podium 29434,L,0.33,1940.0,1940.0
00312563C,OMAR 10 ML ADMISS,cosmocentro3 28047,D,0.0,1.0,podium 29434,L,0.33,2048.0,2048.0
00312563C,OMAR 10 ML ADMISS,cosmocentro3 28047,D,0.0,1.0,podium 29434,L,0.33,1940.0,1940.0
00312563C,Omar 10 Ml Admiss,cosmocentro3 28047,D,0.0,1.0,podium 29434,L,0.33,2048.0,2048.0
00312563C,Omar 10 Ml Admiss,cosmocentro3 28047,D,0.0,1.0,podium 29434,L,0.33,1940.0,1940.0
00312690C,BRILLO TRES OROS 13.5ML MASGLO,carmesi 33593,D,0.0,1.0,globald 26873,L,0.33,6120.0,6120.0
00312690C,Brillo Tres Oros 13.5 Ml Masglo,carmesi 33593,D,0.0,1.0,globald 26873,L,0.33,6120.0,6120.0
00312691C,BRILLO DESTELLOS 13.5 ML MASGLO,holguines 33044,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
00312691C,BRILLO DESTELLOS 13.5 ML MASGLO,holguines 33044,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
00312691C,Brillo Destellos 13.5 Ml Masglo,holguines 33044,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
00312691C,Brillo Destellos 13.5 Ml Masglo,holguines 33044,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
00312691C,Brillo Destellos 13.5Ml Masglo,holguines 33044,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
00312691C,Brillo Destellos 13.5Ml Masglo,holguines 33044,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
00312714C,BASE REGENADORA DE UÑAS FRASCO X 13.50 ML,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,B,0.67,8508.0,8508.0
00312714C,Masglo Clinical Base 8 En Uno 13.5Ml,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,B,0.67,8508.0,8508.0
00312715C,BASE RECUPERADORA DE UÑAS FRASCO X 13.50 ML,cosmocentro3 28047,D,0.0,1.0,holguines 33044,L,0.33,8508.0,8508.0
00312715C,Masglo Clinical Total Care Base 13.5Ml,cosmocentro3 28047,D,0.0,1.0,holguines 33044,L,0.33,8508.0,8508.0
00312721C,Admiss Luis 10Ml,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,L,0.33,2048.0,2048.0
00312721C,Admiss Luis 10Ml,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,L,0.33,1940.0,1940.0
00312721C,LUIS 10 ML ADMISS,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,L,0.33,2048.0,2048.0
00312721C,LUIS 10 ML ADMISS,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,L,0.33,1940.0,1940.0
00312721C,Luis 10 Ml Admiss,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,L,0.33,2048.0,2048.0
00312721C,Luis 10 Ml Admiss,cosmocentro3 28047,D,0.0,1.0,carmesi 33593,L,0.33,1940.0,1940.0
00312837C,Arisca 13.5Ml Masglo,cosmocentro3 28047,D,0.0,1.0,calicanto 33336,L,0.33,4901.0,4901.0
00312837C,ESMALTE MASGLO ARISCA FRASCO X 13.5 ML,cosmocentro3 28047,D,0.0,1.0,calicanto 33336,L,0.33,4901.0,4901.0
00312839C,TOXICA 13.5ML MASGLO,podium 29434,D,0.0,1.0,calicanto 33336,L,0.33,6120.0,6120.0
