punto_de_venta,codigo,nombre_producto,inventario_caja,inventario_blister,inventario_unidad,venta_m3,venta_m2,venta_m1,promedio_venta,prom_2_meses,rotacion_diaria,Fecha_activacion,clasificacion,inv_minimo,inv_maximo,inv_fraccion,desviacion_inventario,cant_compra,mayor_costo,inv_avaluado,compra_valuada,cant_exceso
bella_suiza 40350,200021943,DEXEX ESPERMICIDA 3 UND ICOM,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0333,,B,1.0,1.0,3.0,exceso,0.0,1782.4,5347.2,0.0,1.0
bella_suiza 40350,200022389,DTE.NIVEA ROLL TONO NATURAL CLAS 50 ML M,3.0,0.0,0.0,1.0,0.0,1.0,0.67,0.5,0.0222,,B,1.0,1.0,3.0,exceso,0.0,8353.67,25061.01,0.0,1.0
bella_suiza 40350,200022692,ENJ.COLGATE PERIOGARD SIN ALCOHOL 250 ML,3.0,0.0,0.0,1.0,2.0,1.0,1.33,1.5,0.0444,,B,1.0,1.0,3.0,exceso,0.0,23846.0,71538.0,0.0,1.0
bella_suiza 40350,200024933,CYCLOFEMINA 1 AMPOLLA + JERINGA,4.0,0.0,0.0,0.0,1.0,1.0,0.67,1.0,0.0222,,B,1.0,1.0,4.0,exceso,0.0,19722.0,78888.0,0.0,2.0
bella_suiza 40350,200026532,CRE.DEN.COLGATE LUMINOUS WHITE 125 ML,3.0,0.0,0.0,1.0,1.0,2.0,1.33,1.5,0.0444,,B,1.0,1.0,3.0,exceso,0.0,17667.13,53001.39,0.0,1.0
bella_suiza 40350,200027028,COPITOS COTONETES JJ 75 UND,3.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0333,,B,1.0,1.0,3.0,exceso,0.0,6534.0,19602.0,0.0,1.0
bella_suiza 40350,200031025,CEP.PRO 900 ADULTOS DOBLE ACCION 2X1,4.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0333,,B,1.0,1.0,4.0,exceso,0.0,10291.0,41164.0,0.0,2.0
bella_suiza 40350,200033154,ACIDO BORICO 250 GR DROGAM,3.0,0.0,0.0,0.0,2.0,1.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,4680.17,14040.51,0.0,1.0
bella_suiza 40350,200033231,CRE.PEINAR M.SALOME KERATIN 2 S.S.350 ML,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,21/11/2024,L,1.0,1.0,3.0,exceso,0.0,15221.0,45663.0,0.0,1.0
bella_suiza 40350,200036428,CEP.COLGATE KIDS EXTRA SUAVE 5+,3.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,2868.0,8604.0,0.0,1.0
bella_suiza 40350,200037861,ENJ. BUCAL WHOLE FRESH ZERO 500 ML ICOM,3.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,7911.0,23733.0,0.0,1.0
bella_suiza 40350,200039483,AGUA MICELAR GARNIER SKINACTIVE 100 ML,3.0,0.0,0.0,0.0,2.0,0.0,0.67,1.0,0.0222,,B,1.0,1.0,3.0,exceso,0.0,7461.0,22383.0,0.0,1.0
bella_suiza 40350,200039490,CERA ORTOD.WHOLEFRESH 5 BARR.10UND ICOM,2.0,0.0,7.0,0.1,0.0,0.3,0.13,0.15,0.0044,,D,0.0,0.0,2.7,exceso,0.0,12509.5,33775.65,0.0,2.0
bella_suiza 40350,200039528,CREMA DENTAL COLGATE PERIOGARD 90GR,5.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,5.0,exceso,0.0,16093.0,80465.0,0.0,3.0
bella_suiza 40350,200040063,AGUA BRISA SIN GAS 280 ML 24 UND ICOM,5.0,0.0,6.0,1.33,1.0,1.46,1.26,1.23,0.0421,,B,1.0,1.0,5.25,exceso,0.0,14496.17,76104.89,0.0,3.0
bella_suiza 40350,200040809,COMPOTA ALPINA BABY GU MANZANA 113 GR,4.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,4.0,exceso,0.0,2586.0,10344.0,0.0,2.0
bella_suiza 40350,200040862,AVENA LIQUIDA ALPINA ORIGINAL 250 GR,4.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0333,,B,1.0,1.0,4.0,exceso,0.0,2403.13,9612.52,0.0,2.0
bella_suiza 40350,200040881,COPITOS ECO JGB FRASCO 50 UND,4.0,0.0,0.0,0.0,0.0,2.0,0.67,1.0,0.0222,,B,1.0,1.0,4.0,exceso,0.0,3768.5,15074.0,0.0,2.0
bella_suiza 40350,200041720,DTE.SPEED S.CLINICAL PRACTITUBO 100 GR,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,8031.67,24095.01,0.0,1.0
bella_suiza 40350,200041855,CABLE TECNIGO MICRO USB 3A,4.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,4.0,exceso,0.0,10736.0,42944.0,0.0,2.0
bella_suiza 40350,200042428,3 JAB.PROTEX ANTIBAC.AVENA 110 GR,4.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,4.0,exceso,0.0,8538.5,34154.0,0.0,2.0
bella_suiza 40350,200044248,AVENA ALPINA CANELA VASO 250 G,3.0,0.0,0.0,2.0,2.0,0.0,1.33,1.0,0.0444,,B,1.0,1.0,3.0,exceso,0.0,2403.33,7209.99,0.0,1.0
bella_suiza 40350,200044250,3 JABONES REXONA ANTIBAC.AVENA 110 G,6.0,0.0,0.0,0.0,0.0,1.0,0.33,0.5,0.0111,,L,1.0,1.0,6.0,exceso,0.0,6426.17,38557.02,0.0,4.0
bella_suiza 40350,200044617,CHOCOLATINA JET CON LECHE 11 GR 50 UNDS,15.0,0.0,0.0,4.0,7.0,25.0,12.0,16.0,0.4,,E,6.0,6.0,15.0,exceso,0.0,819.21,12288.15,0.0,7.0
bella_suiza 40350,500000061,FRUTIÑO PIÑA X 20 SOBRES ,16.0,0.0,0.0,0.0,4.0,0.0,1.33,2.0,0.0444,17/12/2024,N,4.0,4.0,16.0,exceso,0.0,1594.0,25504.0,0.0,11.0
bella_suiza 40350,7701018007502,ACEITE RIQUISIMO 500 ML LLOREDA,3.0,0.0,0.0,0.0,1.0,0.0,0.33,0.5,0.0111,,L,1.0,1.0,3.0,exceso,0.0,4148.67,12446.01,0.0,1.0
bella_suiza 40350,7701021120021,CONTENET MEDICAL  M X 10UNDS,2.0,0.0,0.0,0.0,0.1,0.0,0.03,0.05,0.0011,,D,0.0,0.0,2.0,exceso,0.0,23036.0,46072.0,0.0,2.0
bella_suiza 40350,7701021120021,CONTENET MEDICAL  M X 10UNDS,2.0,0.0,0.0,0.0,0.1,0.0,0.03,0.05,0.0011,,D,0.0,0.0,2.0,exceso,0.0,23072.5,46145.0,0.0,2.0
bella_suiza 40350,7701021120663,CONTENET MEDICAL  L X 21 UNDS,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,39849.0,119547.0,0.0,1.0
bella_suiza 40350,7701021120663,CONTENET MEDICAL  L X 21 UNDS,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,39882.5,119647.5,0.0,1.0
bella_suiza 40350,7701021120663,CONTENET MEDICAL  L X 21 UNDS,3.0,0.0,0.0,0.0,0.0,3.0,1.0,1.5,0.0333,,C,1.0,1.0,3.0,exceso,0.0,39871.33,119613.99,0.0,1.0
bella_suiza 40350,7702020211017,DOÑA AREPA 500 GR,3.0,0.0,0.0,1.0,0.0,0.0,0.33,0.0,0.0111,,L,1.0,1.0,3.0,exceso,0.0,1862.33,5586.99,0.0,1.0
bella_suiza 40350,7702025147915,DUCALES X3 315GR,3.0,0.0,0.0,1.0,1.0,2.0,1.33,1.5,0.0444,,B,1.0,1.0,3.0,exceso,0.0,6430.0,19290.0,0.0,1.0
bella_suiza 40350,7702090020847,BRETAÑA VIDRIO 300 ML,22.0,0.0,0.0,10.0,16.0,8.0,11.33,12.0,0.3778,,E,6.0,6.0,22.0,exceso,0.0,2120.79,46657.38,0.0,14.0
bella_suiza 40350,7702090020847,BRETAÑA VIDRIO 300 ML,22.0,0.0,0.0,10.0,16.0,8.0,11.33,12.0,0.3778,,E,6.0,6.0,22.0,exceso,0.0,2120.79,46657.38,0.0,14.0
bella_suiza 40350,7702090020847,BRETAÑA VIDRIO 300 ML,22.0,0.0,0.0,10.0,16.0,8.0,11.33,12.0,0.3778,,E,6.0,6.0,22.0,exceso,0.0,2086.63,45905.86,0.0,14.0
bella_suiza 40350,7702090023008,AGUA CRISTAL CON GAS 600 ML,20.0,0.0,0.0,23.0,20.0,32.0,25.0,26.0,0.8333,,E,13.0,13.0,20.0,exceso,0.0,1254.17,25083.4,0.0,4.0
bella_suiza 40350,7702090029543,Bretaña 1.5l Postobon,12.0,0.0,0.0,10.0,15.0,12.0,12.33,13.5,0.4111,,E,7.0,7.0,12.0,exceso,0.0,3350.0,40200.0,0.0,3.0
bella_suiza 40350,7702090029543,Bretaña 1.5l Postobon,12.0,0.0,0.0,10.0,15.0,12.0,12.33,13.5,0.4111,,E,7.0,7.0,12.0,exceso,0.0,3342.37,40108.44,0.0,3.0
bella_suiza 40350,7702090029543,Bretaña 1.5l Postobon,12.0,0.0,0.0,10.0,15.0,12.0,12.33,13.5,0.4111,,E,7.0,7.0,12.0,exceso,0.0,3333.25,39999.0,0.0,3.0
bella_suiza 40350,7702189055552,DETODITO NATURAL 50 GR,4.0,0.0,0.0,4.0,2.0,3.0,3.0,2.5,0.1,,A,2.0,2.0,4.0,exceso,0.0,1956.0,7824.0,0.0,1.0
bella_suiza 40350,7702189055552,DETODITO NATURAL 50 GR,4.0,0.0,0.0,4.0,2.0,3.0,3.0,2.5,0.1,,A,2.0,2.0,4.0,exceso,0.0,1954.46,7817.84,0.0,1.0
bella_suiza 40350,7702189055552,DETODITO NATURAL 50 GR,4.0,0.0,0.0,4.0,2.0,3.0,3.0,2.5,0.1,,A,2.0,2.0,4.0,exceso,0.0,2016.0,8064.0,0.0,1.0
bella_suiza 40350,7702189056221,CHOKIS CHISPAS 37 GR ,4.0,0.0,0.0,0.0,7.0,7.0,4.67,7.0,0.1556,,E,2.0,2.0,4.0,exceso,0.0,1112.05,4448.2,0.0,1.0
bella_suiza 40350,7702189056245,CHOKIS CHISPAS CHOCOBASE 47 GR,4.0,0.0,0.0,1.0,6.0,2.0,3.0,4.0,0.1,,A,2.0,2.0,4.0,exceso,0.0,1120.0,4480.0,0.0,1.0
