Grupo,Cod Producto,Nombre,Inventario Caja,Inventario Blister,Costo Unidad,Costo Blister,Costo Caja,% Iva,Inventario Unidad,Costo Total,Costo Total Iva,Venta Total
A MENARINI LATIN AMERICA,100000885,LIOTON 1000 GEL 30 GR(3%+),1.0,0.0,0.0,0.0,56019.0,0.0,0.0,56019.0,0.0,79900
A MENARINI LATIN AMERICA,100000886,LIOTON 1000 GEL TUBO 50 GR(3%+),1.0,0.0,0.0,0.0,75880.0,0.0,0.0,75880.0,0.0,88600
OPELLA HEALTHCARE COLOMBI,100000916,BISOLVON NINOS 120 ML,1.0,0.0,0.0,0.0,24580.5,0.0,0.0,24580.5,0.0,38700
LABORATORIOS BUSSIE S.A.,100000944,ISODINE 24 OVULOS,0.0,0.0,2472.29,0.0,0.0,0.0,11.0,27195.19,0.0,33000
LABORATORIOS BUSSIE S.A.,100000945,ISODINE BUCOFARINGEO 120 ML,1.0,0.0,0.0,0.0,23140.0,0.0,0.0,23140.0,0.0,27500
LABORATORIOS BUSSIE S.A.,100000955,ISODINE SOLUCION 60 ML,1.0,0.0,0.0,0.0,6187.0,0.0,0.0,6187.0,0.0,12900
LABORATORIOS BUSSIE S.A.,100001131,GAMABENCENO PLUS CREMA 60 GR,1.0,0.0,0.0,0.0,50645.0,0.0,0.0,50645.0,0.0,57500
LABORATORIOS CHALVER DE C,100001263,CLOBEZAN UNGUENTO 25 GR,1.0,0.0,0.0,0.0,53767.0,0.0,0.0,53767.0,0.0,54900
LABORATORIOS CHALVER DE C,100001309,INFLACOR 4 MG 1 ML AMPOLLA,1.0,0.0,0.0,0.0,18941.0,0.0,0.0,18941.0,0.0,19400
LABORATORIOS CHALVER DE C,100001310,INFLACOR 8 MG 2 ML AMPOLLA,1.0,0.0,0.0,0.0,33460.0,0.0,0.0,33460.0,0.0,34000
LABORATORIOS CHALVER DE C,100001313,INFLACOR RETARD 6+6 MG 2 ML AMPOLLA,1.0,0.0,0.0,0.0,48564.0,0.0,0.0,48564.0,0.0,63900
LABORATORIOS CHALVER DE C,100001314,LACTULAX 12 SBS JARABE 15 ML (3%+),0.0,0.0,6818.21,0.0,0.0,0.0,7.0,47727.47,0.0,58100
LABORATORIOS CHALVER DE C,100001337,TRIGENTAX CREMA 20 GR,1.0,0.0,0.0,0.0,23528.5,0.0,0.0,23528.5,0.0,29300
LABORATORIOS CHALVER DE C,100001338,TRIGENTAX CREMA 40 GR,1.0,0.0,0.0,0.0,34308.0,0.0,0.0,34308.0,0.0,46600
LAB.SIEGFRIED S.A,100001360,DESONIDA 0.05% CREMA 15 GR,1.0,0.0,0.0,0.0,16609.0,0.0,0.0,16609.0,0.0,17900
LAB.SIEGFRIED S.A,100001362,DESONIDA 0.1% CREMA 15 GR,1.0,0.0,0.0,0.0,16587.0,0.0,0.0,16587.0,0.0,18100
LAB.SIEGFRIED S.A,100001368,QUANOX IVERMECTINA 0.6% GOTAS 5 ML,2.0,0.0,0.0,0.0,14683.0,0.0,0.0,29366.0,0.0,64800
LABORATORIOS ECAR S.A.,100001410,ACIDO FOLICO 5 MG 20 TABLETAS EC,1.0,0.0,0.0,0.0,19951.0,0.0,0.0,19951.0,0.0,20400
LABORATORIOS ECAR S.A.,100001421,COMPLEJO B 250 TABLETAS EC,0.0,0.0,1141.04,0.0,0.0,0.0,18.0,20538.72,0.0,30600
LABORATORIOS ECAR S.A.,100001422,COMPLEJO B 10 ML AMPOLLA EC,3.0,0.0,0.0,0.0,10374.33,0.0,0.0,31122.99,0.0,32400
LABORATORIOS ECAR S.A.,100001443,TIAMINA 1 GR 10 ML AMPOLLA EC,1.0,0.0,0.0,0.0,12255.0,0.0,0.0,12255.0,0.0,15200
ESPECIALIDADES OFTALMOLOG,100001488,FLOBACT D GOTAS 5 ML,1.0,0.0,0.0,0.0,83547.0,0.0,0.0,83547.0,0.0,96300
ESPECIALIDADES OFTALMOLOG,100001489,FLOBACT GOTAS 5 ML(3%+),1.0,0.0,0.0,0.0,68411.0,0.0,0.0,68411.0,0.0,71500
GENFAR S.A.,100001643,ACICLOVIR 200 MG 25 TABLETAS GF,1.0,0.0,0.0,0.0,9572.0,0.0,0.0,9572.0,0.0,16100
GENFAR S.A.,100001644,ACICLOVIR 800 MG 10 TABLETAS GF,1.0,0.0,0.0,0.0,16250.0,0.0,0.0,16250.0,0.0,21300
GENFAR S.A.,100001647,ACICLOVIR UNGUENTO TOPICO 15 GR GF,1.0,0.0,0.0,0.0,10156.0,0.0,0.0,10156.0,0.0,13100
GENFAR S.A.,100001648,ACIDO FUSIDICO CREMA 15 GR GF,2.0,0.0,0.0,0.0,9508.0,0.0,0.0,19016.0,0.0,35800
GENFAR S.A.,100001654,AMLODIPINO 10 MG 10 TABLETAS GF,1.0,0.0,0.0,0.0,9462.0,0.0,0.0,9462.0,0.0,11100
GENFAR S.A.,100001655,AMLODIPINO 5 MG 10 TABLETAS GF,2.0,0.0,0.0,0.0,4526.0,0.0,0.0,9052.0,0.0,16600
GENFAR S.A.,100001658,AMOXICILINA 500 MG 50 CAPSULAS GF,1.0,4.0,0.0,4259.7,21298.5,0.0,0.0,38337.3,0.0,62100
GENFAR S.A.,100001673,BETAMETASONA 0.1% CREMA 40 GR GF,2.0,0.0,0.0,0.0,21125.5,0.0,0.0,42251.0,0.0,50800
GENFAR S.A.,100001685,CEFALEXINA 500 MG 10 CAPSULAS GF,1.0,0.0,0.0,0.0,6320.0,0.0,0.0,6320.0,0.0,11200
GENFAR S.A.,100001691,CETIRIZINA 10 MG 10 TABLETAS GF,1.0,0.0,0.0,0.0,4735.0,0.0,0.0,4735.0,0.0,7600
GENFAR S.A.,100001693,CIPROFLOXACINO 500 MG 10 TABLETAS GF,1.0,0.0,0.0,0.0,5395.0,0.0,0.0,5395.0,0.0,9100
GENFAR S.A.,100001695,CLARITROMICINA 500 MG 10 TABLETAS GF,1.0,0.0,0.0,0.0,26329.0,0.0,0.0,26329.0,0.0,47900
GENFAR S.A.,100001700,DICLOFENACO 50 MG 30 TABLETAS GF,1.0,0.0,0.0,0.0,4070.0,0.0,0.0,4070.0,0.0,7200
GENFAR S.A.,100001707,DILTIAZEM 60 MG 20 TABLETAS GF,2.0,0.0,0.0,0.0,7400.5,0.0,0.0,14801.0,0.0,24800
GENFAR S.A.,100001713,ERITROMICINA 500 MG 50 TABLETAS GF,0.0,3.0,0.0,12241.2,0.0,0.0,0.0,36723.6,0.0,54300
GENFAR S.A.,100001720,FLUNARIZINA 10 MG 30 TABLETAS GF,2.0,0.0,0.0,0.0,7609.5,0.0,0.0,15219.0,0.0,24800
GENFAR S.A.,100001732,HIDROCLOROTIAZIDA 25 MG 30 TABLETAS GF,1.0,0.0,0.0,0.0,3418.0,0.0,0.0,3418.0,0.0,6100
GENFAR S.A.,100001734,HIDROXICINA 25 MG 20 TABLETAS GF,1.0,0.0,0.0,0.0,3490.0,0.0,0.0,3490.0,0.0,7200
GENFAR S.A.,100001739,IBUPROFENO 800 MG 50 TABLETAS GF,2.0,3.0,0.0,2743.4,13717.0,0.0,0.0,35664.2,0.0,66200
GENFAR S.A.,100001759,LORATADINA 10 MG 10 TABLETAS GF,4.0,0.0,0.0,0.0,2591.0,0.0,0.0,10364.0,0.0,16400
GENFAR S.A.,100001760,LORATADINA JARABE 100 ML GF,1.0,0.0,0.0,0.0,10434.0,0.0,0.0,10434.0,0.0,11900
GENFAR S.A.,100001761,LOSARTAN 50 MG 30 TABLETAS GF,2.0,0.0,0.0,0.0,9028.0,0.0,0.0,18056.0,0.0,51600
GENFAR S.A.,100001770,NAPROXENO 250 MG 10 CAPSULAS GF,1.0,0.0,0.0,0.0,2742.0,0.0,0.0,2742.0,0.0,6200
GENFAR S.A.,100001779,PAMOATO PIRANTEL SUSPENSION 15 ML GF,1.0,0.0,0.0,0.0,2986.0,0.0,0.0,2986.0,0.0,5100
GENFAR S.A.,100001802,SILIMARINA 150 MG 20 CAPSULAS GF,1.0,0.0,0.0,0.0,19380.0,0.0,0.0,19380.0,0.0,26100
GENFAR S.A.,100001808,TIAMINA 300 MG 250 TABLETAS GF,0.0,3.0,0.0,4035.2,0.0,0.0,0.0,12105.6,0.0,16800
GENFAR S.A.,100001810,TINIDAZOL 1 GR 4 TABLETAS GF,1.0,0.0,0.0,0.0,3508.5,0.0,0.0,3508.5,0.0,4100
GENFAR S.A.,100001818,TRAMADOL 50 MG 10 CAPSULAS GF,1.0,0.0,0.0,0.0,10954.0,0.0,0.0,10954.0,0.0,15300
GENFAR S.A.,100001820,TRIMEBUTINA 200 MG 30 TABLETAS GF,1.0,0.0,0.0,0.0,16036.0,0.0,0.0,16036.0,0.0,26500
GENFAR S.A.,100001821,TRIMETOPRIM SULFA F 160-800 100 TBS GF,0.0,1.0,0.0,4038.9,0.0,0.0,0.0,4038.9,0.0,6900
LAB. GERCO S.A.,100001849,CHA.CHAMPIOJO 60 ML TRADICIONAL+PEINE,1.0,0.0,0.0,0.0,19698.75,0.0,0.0,19698.75,0.0,33400
LAB. GERCO S.A.,100001855,OTOGLICAR GLICERINA CARBONATADA 30 ML,1.0,0.0,0.0,0.0,6063.0,0.0,0.0,6063.0,0.0,7100
GLAXO SMITHKLINE COLOMBIA,100001873,AMOXAL 500 MG 15 CAPSULAS (3%+),1.0,0.0,0.0,0.0,64346.0,0.0,0.0,64346.0,0.0,74000
HALEON COLOMBIA S.A.S.,100001910,DOLEX 500 MG 100 TABLETAS,1.0,0.0,7418.9,0.0,74189.0,0.0,7.0,126121.3,0.0,137600
HALEON COLOMBIA S.A.S.,100001912,DOLEX 500 MG 200 TABLETAS (A),2.0,0.0,7409.3,0.0,148186.0,0.0,13.0,392692.9,0.0,444600
HALEON COLOMBIA S.A.S.,100001913,DOLEX 500 MG 24 TABLETAS RAPIDA ACCION,1.0,0.0,0.0,0.0,25780.0,0.0,0.0,25780.0,0.0,27900
HALEON COLOMBIA S.A.S.,100001916,DOLEX GRIPA 100 TABLETAS,1.0,0.0,4715.68,0.0,117892.0,0.0,20.0,212205.6,0.0,233300
HALEON COLOMBIA S.A.S.,100001917,DOLEX GRIPA 12 TABLETAS,3.0,0.0,0.0,0.0,15480.84,0.0,0.0,46442.52,0.0,50400
HALEON COLOMBIA S.A.S.,100001919,DOLEX JARABE NINOS 90 ML,7.0,0.0,0.0,0.0,15432.09,0.0,0.0,108024.63,0.0,122500
HALEON COLOMBIA S.A.S.,100001921,DOLEX PEDIATRICO 100 TABLETAS MASTICABLE,1.0,0.0,0.0,0.0,95238.0,0.0,0.0,95238.0,0.0,102800
HALEON COLOMBIA S.A.S.,100001930,EMULSION SCOTT CEREZA 180 ML,2.0,0.0,0.0,0.0,13809.0,0.0,0.0,27618.0,0.0,30000
HALEON COLOMBIA S.A.S.,100001931,EMULSION SCOTT CTE 180 ML,3.0,0.0,0.0,0.0,12749.63,0.0,0.0,38248.89,0.0,49200
HALEON COLOMBIA S.A.S.,100001932,EMULSION SCOTT FRUTA TROPICAL 180 ML,1.0,0.0,0.0,0.0,12857.0,0.0,0.0,12857.0,0.0,15600
HALEON COLOMBIA S.A.S.,100001937,EMULSION SCOTT CTE 360 ML,1.0,0.0,0.0,0.0,22836.0,0.0,0.0,22836.0,0.0,27000
HALEON COLOMBIA S.A.S.,100001939,EMULSION SCOTT TROPICAL 360 ML,1.0,0.0,0.0,0.0,22836.0,0.0,0.0,22836.0,0.0,24600
ASPEN COLOMBIANA SAS,100001965,LECHE DE MAGNESIA PHILLIPS 120 ML,2.0,0.0,0.0,0.0,12134.39,0.0,0.0,24268.78,0.0,29200
ASPEN COLOMBIANA SAS,100001967,LECHE DE MAGNESIA PHILLIPS 360 ML,1.0,0.0,0.0,0.0,25958.25,0.0,0.0,25958.25,0.0,37900
GRUINFACOL S.A.,100002037,BRONCODEX JARABE 120 ML,4.0,0.0,0.0,0.0,9232.0,0.0,0.0,36928.0,0.0,97200
GRUNENTHAL COLOMBIANA S.A,100002063,BELARA 21 GRAGEAS (P)25271(SC),2.0,0.0,0.0,0.0,23941.88,0.0,0.0,47883.76,0.0,51000
GRUNENTHAL COLOMBIANA S.A,100002102,VERUM 8 MG 50 TABLETAS(A)(3%+),1.0,0.0,0.0,0.0,154920.5,0.0,0.0,154920.5,0.0,174500
GRUNENTHAL COLOMBIANA S.A,100002105,ZALDIAR 37.5/325 MG 10 TABLETAS(3%+),1.0,0.0,0.0,0.0,67443.0,0.0,0.0,67443.0,0.0,68500
HUMAX PHARMACEUTICAL,100002109,BEDOYECTA 3 AMPOLLAS (A)(3%+),5.0,0.0,13125.6,0.0,39376.8,0.0,1.0,210009.6,0.0,523400
FARMA DE COLOMBIA S.A.,100002142,HERREX CARAMELO JARABE 120 ML(3%+),1.0,0.0,0.0,0.0,70567.33,0.0,0.0,70567.33,0.0,105700
LABORATORIO FRANCO COLOMB,100002196,FACETIX 21 GRAGEAS (P)9907(SC)(SF),2.0,0.0,0.0,0.0,8236.0,0.0,0.0,16472.0,0.0,20600
PROCAPS S.A.,100002239,EYE ZUL SOLUCION OFTALMICA FRASCO X 7 ML,2.0,0.0,0.0,0.0,6242.0,0.0,0.0,12484.0,0.0,26600
JGB S.A.,100002309,AGUA OXIGENADA JGB 120 ML,6.0,0.0,0.0,0.0,4575.75,0.0,0.0,27454.5,0.0,30600
JGB S.A.,100002314,CITROMEL LIQUIDO 310 ML,1.0,0.0,0.0,0.0,23864.0,0.0,0.0,23864.0,0.0,24000
LABORATORIOS LA SANTE S.A,100002421,ACETAMINOFEN 500 MG 100 TABLETAS LS,0.0,0.0,1270.2,0.0,0.0,0.0,7.0,8891.4,0.0,11200
LABORATORIOS LA SANTE S.A,100002433,AMLODIPINO 10 MG 10 TABLETAS LS,6.0,0.0,0.0,0.0,8936.0,0.0,0.0,53616.0,0.0,57000
LABORATORIOS LA SANTE S.A,100002434,AMLODIPINO 5 MG 10 TABLETAS LS,5.0,0.0,0.0,0.0,5619.0,0.0,0.0,28095.0,0.0,40000
LABORATORIOS LA SANTE S.A,100002436,AMOXICILINA 250 MG SUSPENSION 100 ML LS,3.0,0.0,0.0,0.0,7740.0,0.0,0.0,23220.0,0.0,26100
LABORATORIOS LA SANTE S.A,100002437,AMOXICILINA 250 MG SUSPENSION 45 ML LS,1.0,0.0,0.0,0.0,4795.0,0.0,0.0,4795.0,0.0,5200
LABORATORIOS LA SANTE S.A,100002439,AMOXICILINA 500 MG 50 CAPSULAS LS,1.0,0.0,0.0,0.0,15066.0,0.0,0.0,15066.0,0.0,30600
LABORATORIOS LA SANTE S.A,100002454,AZITROMICINA 500 MG 3 TABLETAS LS,8.0,0.0,0.0,0.0,12688.0,0.0,0.0,101504.0,0.0,112800
LABORATORIOS LA SANTE S.A,100002477,CETIRIZINA 10 MG 10 TABLETAS LS,3.0,0.0,0.0,0.0,4684.25,0.0,0.0,14052.75,0.0,20700
LABORATORIOS LA SANTE S.A,100002481,CIPROFLOXACINA 500 MG 10 TABLETAS LS,1.0,0.0,0.0,0.0,8293.0,0.0,0.0,8293.0,0.0,10700
LABORATORIOS LA SANTE S.A,100002487,CLINDAMICINA 300 MG 24 CAPSULAS LS,2.0,0.0,0.0,0.0,51106.0,0.0,0.0,102212.0,0.0,127000
LABORATORIOS LA SANTE S.A,100002498,DICLOFENACO 50 MG 20 TABLETAS LS,4.0,0.0,0.0,0.0,3267.0,0.0,0.0,13068.0,0.0,20000
LABORATORIOS LA SANTE S.A,100002501,DICLOFENACO RETARD 100 MG 20 CAPSULAS LS,1.0,0.0,0.0,0.0,10203.0,0.0,0.0,10203.0,0.0,11500
LABORATORIOS LA SANTE S.A,100002550,LORATADINA 10 MG 10 TABLETAS LS,2.0,0.0,0.0,0.0,2524.5,0.0,0.0,5049.0,0.0,6400
LABORATORIOS LA SANTE S.A,100002555,MELOXICAM 15 MG 10 TABLETAS LS,1.0,0.0,0.0,0.0,11557.0,0.0,0.0,11557.0,0.0,14800
LABORATORIOS LA SANTE S.A,100002556,MELOXICAM 7.5 MG 10 TABLETAS LS,1.0,0.0,0.0,0.0,9101.0,0.0,0.0,9101.0,0.0,11400
LABORATORIOS LA SANTE S.A,100002603,SECNIDAZOL 500 MG 4 TABLETAS LS,3.0,0.0,0.0,0.0,4406.33,0.0,0.0,13218.99,0.0,24000
LABORATORIOS LA SANTE S.A,100002608,SILDENAFIL 50 MG 2 TABLETAS LS,12.0,0.0,0.0,0.0,1610.37,0.0,0.0,19324.44,0.0,90000
LABORATORIOS LA SANTE S.A,100002626,TRIMEBUTINA 200 MG 30 TABLETAS LS,1.0,0.0,0.0,0.0,24426.0,0.0,0.0,24426.0,0.0,30500
LABORATORIOS LA SANTE S.A,100002632,VERAPAMILO 120 MG 50 TABLETAS LS(P)15420,3.0,0.0,0.0,0.0,11667.0,0.0,0.0,35001.0,0.0,46800
LABORATORIOS ARMOFAR LIMI,100002679,SINAXAR A 20 TABLETAS,1.0,0.0,0.0,0.0,20616.0,0.0,0.0,20616.0,0.0,22300
LAB. BAGO DE COLOMBIA LTD,100002696,CUAIT D 40 TABLETAS,1.0,0.0,0.0,0.0,58095.0,0.0,0.0,58095.0,0.0,64400
LAB. BAGO DE COLOMBIA LTD,100002705,METARSAL N 18 CAPSULAS,0.0,0.0,2680.11,0.0,0.0,0.0,6.0,16080.66,0.0,20400
LAB. BAGO DE COLOMBIA LTD,100002713,MODIUR 40 TABLETAS,1.0,0.0,0.0,0.0,45828.0,0.0,0.0,45828.0,0.0,45900
LAB. FARMACEUTICO STELAR,100002767,STAN-K 500 MGS 100 TBS(A),0.0,5.0,0.0,18520.1,0.0,0.0,0.0,92600.5,0.0,96500
LAB. INCOBRA S.A.,100002817,BETANECROTON 10 CAPSULAS,1.0,0.0,0.0,0.0,52907.0,0.0,0.0,52907.0,0.0,57100
LAB. INCOBRA S.A.,100002858,NECROTON 8 CAPSULAS,0.0,0.0,5430.88,0.0,0.0,0.0,5.0,27154.4,0.0,29000
