codigo,NombreProducto,Fabricante
200004864,AFTER SHAVE NIVEA BALSAMO FOR MEN SENSI.,BEIERSDORF S.A.
200004867,ESPUMA DE AFEITAR NIVEA F.MEN SENS.200ML,BEIERSDORF S.A.
200004891,CREMA NIVEA VIS.A.ARR.PLUS Q-10 NOCHE 50,BEIERSDORF S.A.
200004892,CREMA NIVEA VIS.ANT.ARR.PLUS Q-10 C.OJOS,BEIERSDORF S.A.
200004893,CREMA NIVEA VIS.A/ARR.PLUS Q-10 DIA 50GR,BEIERSDORF S.A.
200004901,TOA.DESMAQ.NIVEA VISAGE P/SECAS SENSIB.,BEIERSDORF S.A.
200004941,TOA.DESMAQUILLADORA NIVEA VISAGE 25 UND,BEIERSDORF S.A.
200010867,CREMA NIVEA COR.REA.Q-10+VITA C X 400 ML,BEIERSDORF S.A.
200011253,EUCERIN UREA 10% CREMA PIES 100 ML,BEIERSDORF S.A.
200011741,CREMA NIVEA BODY SOFT MILK SECA 400 ML,BEIERSDORF S.A.
200013175,CRE.LECHE LIMP.FAC.SUAVE NIVEA P.SEC.200,BEIERSDORF S.A.
200013177,APOSITO CALLICIDA HANSAPLAST 6 UND,BEIERSDORF S.A.
200013178,PARCHE CALLICIDA HANSAPLAST 2 UND,BEIERSDORF S.A.
200013281,CREMA NIVEA B.MILK Q-10 PLUS REAF.125 ML,BEIERSDORF S.A.
200014500,HIDROFUGAL BARRA 40 ML,BEIERSDORF S.A.
200015090,CREMA NIVEA 30 GR PG.10 LL.12,BEIERSDORF S.A.
200015091,CREMA NIVEA 60 GR PG.5 LL.6,BEIERSDORF S.A.
200015549,PRESERVAT.DUO G SENSATION 3 UND,BEIERSDORF S.A.
200015721,BLOQ.NIVEA SUN FPS 60 ULT.PRO.SENT.125ML,BEIERSDORF S.A.
200016558,EUCERIN CREMA HYALU NOCHE 50 ML(A)(PAE),BEIERSDORF S.A.
200016559,EUCERIN CREMA HYALURON DIA 50 ML(A)(PAE),BEIERSDORF S.A.
200016622,CREMA NIVEA MILK ALMENDRAS 250 ML,BEIERSDORF S.A.
200016623,CREMA NIVEA COR.REA.Q-10+VITA C X 250 ML,BEIERSDORF S.A.
200016624,CREMA NIVEA BODY SOFT MILK SECA 250 ML,BEIERSDORF S.A.
200016625,PROT.LABIAL NIVEA LIP CARE FRESA,BEIERSDORF S.A.
200017463,CREMA NIVEA BODY HIDRATANTE 250 ML,BEIERSDORF S.A.
200017464,CREMA NIVEA BODY HIDRATANTE 400 ML,BEIERSDORF S.A.
200018360,EUCERIN HYALU CONT.DE OJOS 15 ML(A)(PAE),BEIERSDORF S.A.
200018630,PARCHE TERMICO LEON 12 PAG 10 LLE 12 UND,BEIERSDORF S.A.
200019361,BLOQ.NIVEA SUN FACIAL FPS50 LIGHT 50 ML,BEIERSDORF S.A.
200020270,DTE.NIVEA SPRAY SILVER PROTECT 150 ML H,BEIERSDORF S.A.
200020271,DTE.NIVEA ROLLON SILVER PROTECT 50 ML H,BEIERSDORF S.A.
200020896,EUCERIN SOLAR SUN LOT FPS 50 150 ML(PAE),BEIERSDORF S.A.
200020897,EUCERIN SOLAR SUN CREME FPS 50 50 GR,BEIERSDORF S.A.
200020990,EUCERIN SOLAR SUN FLUIDO FPS 50 50 ML,BEIERSDORF S.A.
200020991,EUCERIN SOLAR SUN NINOS FPS 50 150 ML,BEIERSDORF S.A.
200021055,JABON INTIMO EUCERIN 250 ML,BEIERSDORF S.A.
200021647,EUCERIN PH5 LOCION 400 ML(3%+)(PAE),BEIERSDORF S.A.
200022389,DTE.NIVEA ROL.ACLARADO NATURAL 50 ML M,BEIERSDORF S.A.
200022391,JABON INTIMO NIVEA NATURAL 250 ML,BEIERSDORF S.A.
200022392,JABON INTIMO NIVEA SUAVE 250 ML,BEIERSDORF S.A.
200022398,DTE.NIVEA SPR ACLARADO NATURAL 150 ML M,BEIERSDORF S.A.
200022399,PRESERVAT.DUO  HOT ACTION 3 UND,BEIERSDORF S.A.
200023009,CREMA NIVEA ACLARADORA NOCHE 50 ML,BEIERSDORF S.A.
200023558,PROT.LABIAL NIVEA FRUITY SHINE CER 4.8 G,BEIERSDORF S.A.
200024048,CREMA NIVEA BODY SOFT MILK SECA 1000 ML,BEIERSDORF S.A.
200024050,GEL AFEITAR NIVEA SILVER PROTECT 200 ML,BEIERSDORF S.A.
200024181,DTE.NIVEA SPRAY BLACK & WHITE 150 ML H,BEIERSDORF S.A.
200024182,DTE.NIVEA SPRAY BLACK & WHITE 150 ML M,BEIERSDORF S.A.
200024185,DTE.NIVEA ROL.INV.BLACK & WHITE 50 ML M,BEIERSDORF S.A.
200024186,DTE.NIVEA ROL.INV.BLACK & WHITE 50 ML H,BEIERSDORF S.A.
200024187,EUCERIN BABY BANO Y CHA.240 ML,BEIERSDORF S.A.
200024847,EUCERIN DERMATOCLEAN LOC.MIC.3EN1 200ML,BEIERSDORF S.A.
200024977,EUCERIN PH5 ACEITE DE DUCHA 200 ML,BEIERSDORF S.A.
200026185,EUCERIN UREA 10% COMPLETE REPAIR 250 ML,BEIERSDORF S.A.
200026616,EUCERIN HYALURON DIA P.NOR.MIX 50ML (A),BEIERSDORF S.A.
200026618,CRE.NIVEA B/MILK Q10 REA.PIEL SECA 400ML,BEIERSDORF S.A.
200026619,BLOQ.NIVEA SUN FPS60 KIDS SENSIT.125 ML,BEIERSDORF S.A.
200026835,PROT.LABIAL NIVEA LIP CARE MED FPS 15,BEIERSDORF S.A.
200027992,CREMA NIVEA B.MILK Q-10 PLUS REAF.1000ML,BEIERSDORF S.A.
200027993,CREMA NIVEA BODY HIDRATANTE 1000 ML,BEIERSDORF S.A.
200028343,BLOQ.NIVEA SPR.PROTECT REF.FP 50 200 ML,BEIERSDORF S.A.
200028613,EUCERIN HYALURON FILL.CONC.6 TUB.5 ML(A),BEIERSDORF S.A.
200029136,2 DTE NIVEA SPR ACLA.NATURAL 150 ML S.O.,BEIERSDORF S.A.
200030031,DTE.NIVEA ROL.ACLA.EFECTO SATIN 50 ML M,BEIERSDORF S.A.
200030032,DTE.NIVEA SPR.ACLA.EFECTO SATIN 150 ML M,BEIERSDORF S.A.
200030883,2 DTE NIVEA ROL.ACLA.NAT.50 ML M SUP.DTO,BEIERSDORF S.A.
200031010,PROT.LAB.NIVEA FRUI.SHI.CER 4.8G.AH.1500,BEIERSDORF S.A.
200031171,CRE.NIVEA CELLULAR A.AGE DIA FPS30 50 ML,BEIERSDORF S.A.
200031172,CRE.NIVEA CELLULAR A.AGE NOCHE 50 ML,BEIERSDORF S.A.
200031173,CRE.NIVEA CELLULAR ANTI.AGE C.OJOS 15 ML,BEIERSDORF S.A.
200031509,CREMA NIVEA FACIAL DIA HIDR.NORMAL 50 ML,BEIERSDORF S.A.
200032192,PRESERVAT.DUO TORNADO PASSION 3 UND,BEIERSDORF S.A.
200032193,EUCERIN SUN FACE OIL CONTROL SPF 50 50ML,BEIERSDORF S.A.
200033511,BRONC.NIVEA SUN ACEITE SPRAY FPS6 200 ML,BEIERSDORF S.A.
200033513,BRONC.NIVEA SUN GOLDEN FPS 6 200 ML,BEIERSDORF S.A.
200033716,PRESERVAT.DUO NORMAL LUBRICADO 3 UND S.O,BEIERSDORF S.A.
200033717,PRESERVAT.DUO ULTRASENSIBLE 3 UND S.O,BEIERSDORF S.A.
200033718,PRESERVAT.DUO RETARDANTE 3 UND S.O,BEIERSDORF S.A.
200033719,PRESERVAT.DUO G SENSATION 3 UND S.O,BEIERSDORF S.A.
200033785,2 DTE.NIVEA SPRAY DRY FEM.COMF.150 ECONO,BEIERSDORF S.A.
200034309,PRESERVAT.DUO HOT ACTION 3 UND S.O,BEIERSDORF S.A.
200034310,PREPACK DUO SURTIDO 24 UND (A),BEIERSDORF S.A.
200034961,2 DTE NIVEA SPR.BLA.WH.H.150ML.SUP.DTO.,BEIERSDORF S.A.
200034962,2 DTE.NIVEA SPR.BLA.WHI.M.150 ML.S.O,BEIERSDORF S.A.
200034964,2 DTE.NIVEA SPR.ACLA.EFE.SATIN 150ML,BEIERSDORF S.A.
200035290,DTE.HIDROFUGAL FORTE SPRAY 30 ML,BEIERSDORF S.A.
200035467,2DTE.NIV.BARR.ACL.EFEC.SATIN 50 GR S.O,BEIERSDORF S.A.
200035706,LUBRIC.DUO GEL 75 ML+PRE.DUO.ULTRASE.S.O,BEIERSDORF S.A.
200035956,DTE.NIVEA SPR.BLACK WHITE FRESH 150ML H,BEIERSDORF S.A.
200036008,CREMA NIVEA CUID.FACIAL NUTRITIVO 50 ML,BEIERSDORF S.A.
200036009,CREMA NIVEA CUID.FACIAL NUTRITIVO 100 ML,BEIERSDORF S.A.
200036010,CREMA NIVEA CUI.FACIAL ACLARADO NAT.50ML,BEIERSDORF S.A.
200036011,CRE.NIVEA CUI.FACIAL ACLARADO NAT.100 ML,BEIERSDORF S.A.
200036012,CREMA NIVEA CUID.FACI.ANTI ARRUGAS 50 ML,BEIERSDORF S.A.
200036013,CREMA NIVEA FAC.CUID.ANTI ARRUGAS 100 ML,BEIERSDORF S.A.
200036021,DTE.NIVEA BARRA INVISI.BLACK WHI.50GR H,BEIERSDORF S.A.
200036022,DTE.NIVEA BARRA SILVER 50 GR H,BEIERSDORF S.A.
200036025,DTE.NIVEA BARRA INVISI.BLACK WHI.50GR M,BEIERSDORF S.A.
200036026,DTE.NIVEA BARRA ACLARADO NATURAL 50 GR M,BEIERSDORF S.A.
200036027,DTE.NIVEA BARRA ACLARADO SATIN 50 GR M,BEIERSDORF S.A.
200036110,EUCERIN PRO.SOLAR FPS 50ANT.AG 50ML(PAE),BEIERSDORF S.A.
200036528,PROT.LABIAL NIVEA BLACKBERRY SHINE MORA,BEIERSDORF S.A.
200036926,CURAS HANSAPLAST FROZEN 20 UDS,BEIERSDORF S.A.
200037106,EUCERIN PH5 CREMA INTENSIVA 450 ML,BEIERSDORF S.A.
200037219,CRE.NIVEA HIDRAT.EXPRESS 125 ML AH.1000,BEIERSDORF S.A.
200037579,CREMA NIVEA REAFIRMANTE Q10 625 ML,BEIERSDORF S.A.
200037580,CREMA NIVEA BODY MILK NUTRITIVA 625 ML,BEIERSDORF S.A.
200037960,2 DTE NIVEA BARRA BLACK WHITE H.50GR S.O,BEIERSDORF S.A.
200037971,EUCERIN HYALU FIL.ELASTICI DIA 50ML(PAE),BEIERSDORF S.A.
200037972,EUCERIN HYALURON F.ELASTICITY NOCHE 50ML,BEIERSDORF S.A.
200038224,DTE.NIVEA SPRAY SERUM EXTRA ACLA.100ML M,BEIERSDORF S.A.
200038225,DTE.NIVEA ROLLON SERUM EXTRA ACLA.40ML M,BEIERSDORF S.A.
200038325,COPITOS HANSAPLAST PAG.80 LLE.120 UNDS,BEIERSDORF S.A.
200039089,PROTEC.SOLAR NIVEA SUN FPS70 200 ML.,BEIERSDORF S.A.
200039094,EUCERIN CREMA REPARADORA AQUAPHOR 55 ML.,BEIERSDORF S.A.
200039602,CREMA NIVEA FACIAL5 EFECTO MATE 50 ML,BEIERSDORF S.A.
200039603,DTE.NIVEA MEN DEEP AEROSOL 150 ML,BEIERSDORF S.A.
200039624,GEL LIMP.FACIAL NIVEA EFECTO MATE 150 ML,BEIERSDORF S.A.
200039626,AG.MICELAR NIVEA EFECTO MATE 400 ML,BEIERSDORF S.A.
200039802,GEL DE AFEITAR ANT. NIVEA DEEP MEN 200ML,BEIERSDORF S.A.
200039803,DTE.ANTIT. NIVEA MEN DEEP DRY ROLL 50 ML,BEIERSDORF S.A.
200039804,LOCION EUCERIN PH5 100 ML,BEIERSDORF S.A.
200039854,2 DTE.NIVEA ROL INV BLACK WHITE 50ML H,BEIERSDORF S.A.
200039984,DTE.NIVEA ROL.BLACK WHI.EFE.SATIN 50ML M,BEIERSDORF S.A.
200039985,DTE.NIV.BLACK AND WHITE EF.SAT SPR 150ML,BEIERSDORF S.A.
200040003,PROT.LAB NIVEA 2 CER + 1 BLAC PAG 2 LL 3,BEIERSDORF S.A.
200040010,PREPACK CREMA NIVEA LATA 30 ML PAG 3LL4,BEIERSDORF S.A.
200040042,PREPACK CREMA NIVEA LATA 60 ML PAG 3LL4,BEIERSDORF S.A.
200040429,AGUA MICELAR  NIVEA FACIAL ROSAS 400ML,BEIERSDORF S.A.
200040430,TOA.DESMAQ.MICELAR NIVEA FACIAL ROSAS,BEIERSDORF S.A.
200040431,GEL NIVEA FACIAL MICELLAIR ROSAS 150 ML,BEIERSDORF S.A.
200040469,PREPACK DUO PAGUE 3 LLEVE 4 SUPER OFERTA,BEIERSDORF S.A.
200040478,2 DTE NIVEA MEN SILVER PROTECT 150ML S.D,BEIERSDORF S.A.
200040599,2 DTE NIVEA MEN DEEP SPRAY 150ML S.D,BEIERSDORF S.A.
200041067,DESODORANTE NIVEA DRY COMFORT BAR 50 ML,BEIERSDORF S.A.
200041068,EUCERIN AQUA CREMA REP.POTE 110ML/97 GR,BEIERSDORF S.A.
200041073,DTE.NIVEA DRY CLINICAL TUBO 75 ML,BEIERSDORF S.A.
200041074,CRE.CORPORAL MILK 250ML+NIVEA 125ML,BEIERSDORF S.A.
200041075,CURAS HANSAPLAST IMPERM.PIEL 10 UND,BEIERSDORF S.A.
200041076,CURAS HANSAPLAST IMPERM.PIEL 100 UND,BEIERSDORF S.A.
200041077,ESPARADRAPO HANSAPLAST ADH.5MX2.5CM,BEIERSDORF S.A.
200041079,EUCERIN PROT.SOLAR TOQUE SECO COR.200 ML,BEIERSDORF S.A.
200041080,DTE.NIVEA BLACK-WHITE ULT IMP SPR.150 ML,BEIERSDORF S.A.
200041081,DTE.NIV BLACK AND WHITE ULT IMP ROL 50ML,BEIERSDORF S.A.
200041082,EUCERIN SPRAY FACIAL HYALURON MIS 150 ML,BEIERSDORF S.A.
200041083,NIVEA GEL DE DUCHA CREME CARE 250 ML,BEIERSDORF S.A.
200041084,NIVEA SUN SHINE CONTROL SPF50 50 ML,BEIERSDORF S.A.
200041085,NIVEA SUN ANTI ED.MANCHAS FPS50 50 ML,BEIERSDORF S.A.
200041258,CREMA NIVEA CUID.FACIAL NOCHE 100 ML,BEIERSDORF S.A.
200041344,PREPACK DUO PAGUE 12 LLEVE 14,BEIERSDORF S.A.
200041345,ESPARADRAPO HANSAPLAST 5M X 1.25CM,BEIERSDORF S.A.
200041380,PARCHE LEON CON ARNICA HANSAPLAS UD,BEIERSDORF S.A.
200041667,NIVEA AGUA DE ROSAS CREMA HIDRAT.50 ML,BEIERSDORF S.A.
200041869,2 DTE.NIVEA INVISIBLE BLACK Y WHIT 150ML,BEIERSDORF S.A.
200041870,2 DTE.NIVEA BARRA ACLARADO NATURAL 50 G,BEIERSDORF S.A.
200041871,DTE.NIVEA MEN DEEP ESPRESSO AER 150 ML,BEIERSDORF S.A.
200041894,CREMA NIVEA FAC.CELLULAR LUMI.SERUM 30GR,BEIERSDORF S.A.
200041895,CREMA NIVEA FAC.CELLULAR LUMI.ANTIM.40GR,BEIERSDORF S.A.
200042123,CURITAS HANSAPLAST ELASTIC 20 UND,BEIERSDORF S.A.
200042124,CURITAS HANSAPLAST SENSITIVE 20 UND,BEIERSDORF S.A.
200042168,CRE.CORP.NIVEA LECHE PIEL EX.SECA 1000ML,BEIERSDORF S.A.
200042169,2 DTE NIVEA SILVER ROLL ON 50 ML SUP.DCT,BEIERSDORF S.A.
200042170,NIVEA AFTER SUN HIDRATANTE 200 ML,BEIERSDORF S.A.
200042323,GEL HID.NIVEA CUID. HYALURON FRESH 100ML,BEIERSDORF S.A.
200042627,EUCERIN AQUAPHOR REP.DE LABIOS 10 ML,BEIERSDORF S.A.
200042628,CRE.NIVEA BODY NATURALLY GOOD ALOE 350ML,BEIERSDORF S.A.
200042629,CRE.NIVEA BODY NATURALLY GOOD AVENA350ML,BEIERSDORF S.A.
200042630,DTE.NIVEA ACLA.NAT M.P 16 LL 18 SBS 9 GR,BEIERSDORF S.A.
200042631,CREMA NIVEA FACIAL NUTR.9SACH 9GR.P.8LL9,BEIERSDORF S.A.
200042632,CREMA NIVEA FACIAL ACLA.9SACH 9GR.P.8LL9,BEIERSDORF S.A.
200042633,DTE.NIVEA BLAC.W.IN.CL 16 LL 18 SBS 10ML,BEIERSDORF S.A.
200042634,DTE.NIVEA MEN DEEP BEAT AER.150 ML,BEIERSDORF S.A.
200042635,DTE.NIVEA MEN DEEP BEAT ROLL ON 50 ML,BEIERSDORF S.A.
200042636,PROT.SOL.EUCERIN OIL SECO TONO MED 50ML,BEIERSDORF S.A.
200042637,PROT.SOL.EUCERIN OIL SECO TONO CLA 50ML,BEIERSDORF S.A.
200042638,GEL FACIAL EUCERIN DERMO PURE OIL 200ML,BEIERSDORF S.A.
200042771,EUCERIN  PH5 ADVANCED REPAIR CREMA 450ML,BEIERSDORF S.A.
200042772,AGUA MICELAR NIVEA ROSAS 100 ML,BEIERSDORF S.A.
200042773,CRE.CORPORAL NIVEA PRO.SOLAR FPS15 220ML,BEIERSDORF S.A.
200042774,CRE.CORPORAL NIVEA PRO.SOLAR FPS15 400ML,BEIERSDORF S.A.
200042805,NIVEA CELLULAR LUMINOUS NOCHE 50 ML,BEIERSDORF S.A.
200042806,NIVEA CELLULAR LUMINOUS OJOS 15 ML,BEIERSDORF S.A.
200042807,CURAS HANSAPLAST SENSITIVE KIDS 2O UND,BEIERSDORF S.A.
200042808,EUCERIN HYALU. FILLER SERUM FACIAL 30 ML,BEIERSDORF S.A.
200042809,EUCERIN HYAL. FILER ELA. 3DSERUM F. 30ML,BEIERSDORF S.A.
200042810,EUCERIN ANTI-MANC. DUAL.SERUM FAC. 30ML,BEIERSDORF S.A.
200043132,EUCERIN DERMO PURE OIL CONTROL 400 ML,BEIERSDORF S.A.
200043133,EUCERIN SUN PIGMENT CONTROL FPS50+ 50 ML,BEIERSDORF S.A.
200043279,GEL LUBRICANTE DUO PURE 75 ML,BEIERSDORF S.A.
200043432,DTE.NIVEA BARRA DEEP BLACK CARBON 50 G,BEIERSDORF S.A.
200043433,PROT.SOLAR EUCERIN FPS50 TONO CLARO 50ML,BEIERSDORF S.A.
200043434,PROT.SOLAR EUCERIN FPS50 TONO MEDIO 50ML,BEIERSDORF S.A.
200043435,EUCERIN HYALURON FILLER U.LIGHT GEL 50ML,BEIERSDORF S.A.
200043501,DTE.NIVEA ROLLON CLIN.TONO NATURAL 50 ML,BEIERSDORF S.A.
200043502,DTE.NIVEA SPRAY CLIN.TONO NATURAL 150 ML,BEIERSDORF S.A.
200043670,EUCERIN PH5 LIGHT GEL CREAM 200 ML,BEIERSDORF S.A.
200043671,PROTEC.EUCERIN HYDRO FLUID FPS 50+ 50 ML,BEIERSDORF S.A.
200043813,GEL NIVEA HYALURON 200 ML,BEIERSDORF S.A.
200043937,CREMA NIVEA 200 ML,BEIERSDORF S.A.
200043936,CREMA NIVEA 100 ML,BEIERSDORF S.A.
200004796,EUCERIN Q 10 ACTIVE CONTORNO OJOS 15 GR,BEIERSDORF S.A.
100001486,CLARIVIS 0.025% GOTAS 5 ML,ESPECIALIDADES OFTALMOLOG
100001488,FLOBACT D GOTAS 5 ML(PAE),ESPECIALIDADES OFTALMOLOG
100001489,FLOBACT GOTAS 5 ML(3%+),ESPECIALIDADES OFTALMOLOG
100001491,KENALER GOTAS 5 ML (3%+)(PAE),ESPECIALIDADES OFTALMOLOG
100001492,OPHTHABRACIN D GOTAS 5 ML,ESPECIALIDADES OFTALMOLOG
100001493,OPHTHABRACIN GOTAS 5 ML,ESPECIALIDADES OFTALMOLOG
100008101,PREFOX-T GOTAS 5 ML,ESPECIALIDADES OFTALMOLOG
100008601,OPHTHASONA GOTAS 5 ML,ESPECIALIDADES OFTALMOLOG
100011548,FREEGEN 1% GEL 15 ML,ESPECIALIDADES OFTALMOLOG
100014140,QUIMOX SOLUCION OFTALMICA 5 ML (3%+),ESPECIALIDADES OFTALMOLOG
100014453,DORTIM GTS OFTALMICAS 6 ML (3%+)(PAE),ESPECIALIDADES OFTALMOLOG
